"Species","Latitude","Longitude","species","decimalLatitude","decimalLongitude"
NA,NA,NA,"Cosmotriphora arnoldoi",-21.381833,-40.330133
NA,NA,NA,"Dynamena quadridentata",-21.6021,-40.8486
NA,NA,NA,"Poecilia vivipara",-21.616188,-41.016581
NA,NA,NA,"Ampelisca brevisimulata",-21.6090380555556,-40.655235
NA,NA,NA,"Laguncularia racemosa",-21.3102,-40.9612
NA,NA,NA,"Tiburonella viscana",-21.4121472222222,-40.5255388888889
NA,NA,NA,"Nodipecten nodosus",-21.45,-40.833333
NA,NA,NA,"Nototriphora decorata",-21.392694,-40.262038
NA,NA,NA,"Pilumnoides hassleri",-21.5,-40.3
NA,NA,NA,"Polyschides tetraschistus",-21.471359,-40.811207
NA,NA,NA,"Tiburonella viscana",-21.3844144444444,-40.8072527777778
